Folder,LoadBalancer,Language,Framework,Database
rafaelpadovezi-django-orm,nginx,python,django,postgresql
rafaelpadovezi-mongo,nginx,unknown,unknown,mongodb
rafaelporto-dotnet-orleans,custom,dotnet,unknown,mysql
rafaelrcamargo,custom,Rust,unknown,custom
rafaeltorquato-saitama,custom,java,unknown,postgres
rafaqwe1,nginx,go,unknown,postgres
rafaumlemos,nginx,nodejs,unknown,postgres
raiane-dev,caddy,go,unknown,sqlite
raissadev,nginx,golang,unknown,postgres
ramondelemos,nginx,elixir,unknown,postgresql
ramonmelod-node-express,nginx,nodejs,express,postgres
ramosfabiano,nginx,unknown,drogon,postgres
ramosfabiano_v2,nginx,unknown,drogon,postgres
raphaelmonticello,nginx,go,fiber,postgres
raphael_milani,nginx,java,unknown,postgres
rayan-elixir,nginx,elixir,unknown,postgres
rayan-rust,nginx,rust,unknown,postgres
rdenadai_bun_sqlite,haproxy,unknown,bun,sqlite
rdenadai_python,nginx,python,unknown,PostgreSQL
rdenadai_rust,nginx,rust,unknown,PostgreSQL
recoba,nginx,golang,unknown,postgres
renan-norba,nginx,elixir,unknown,mnesia
renanvm,nginx,java,unknown,postgres
renanvy-crystal,custom,crystal,unknown,postgresql
renatolfc-??,custom,rust,unknown,postgres
reonardoleis,nginx,go,unknown,postgres
rhsobr-bun,nginx,unknown,bun,postgres
rhsobr-go,nginx,golang,gin,postgres
ricardovhz,envoy,go,gin,rinha2_store
richardnfag-vernal,custom,rust,tokio,lmdb
rigottig,nginx,rust,unknown,postgres
ritilopes,envoy,kotlin,spring,postgres
rizzo-nodejs,nginx,nodeJS,unknown,postgreSQL
rmac737,custom,.NET,unknown,postgres
rmauro,envoy,C#,unknown,mysql
rmauro-mysql-yarp,custom,C#,unknown,mysql
rmauro-postgresql,envoy,C#,unknown,postgresql
rmauro-postgresql-yarp,custom,C#,unknown,postgresql
robertoseba,nginx,Javascript/Typescript,NestJs,postgres
robsoncassol,nginx,java,unknown,postgresql
rodolphovs,nginx,c,unknown,in-memory
rodolphovs-c-db,nginx,c,unknown,custom
rodolphovs-rs,custom,rust,unknown,postgres
rodrigo-brito,nginx,go,unknown,postgres
rodrigoaramburu,nginx,php,swoole,postgres
rodrigocaldeira,nginx,elixir,phoenix,postgres
rodrigocaldeira-c,nginx,C,unknown,postgres
rodrigopizzi,nginx,kotlin,ktor,mongodb
rodrixl,nginx,python,unknown,postgres
rof20004,nginx,go,unknown,postgres
rogerbu-java,nginx,java,unknown,postgresql
ronaldo_scardini,nginx,rust,unknown,postgresql
ronistone-go,nginx,Golang,Echo_v4,Postgres
ronistone-spring,nginx,java,spring_boot,postgres
rp83t1,custom,golang,unknown,postgresql
rschio,nginx,go,unknown,postgres
rud-nodejs,nginx,nodejs,unknown,postgres
ruhtar,nginx,.net_8,unknown,postgres
rust-cassiogangrel,nginx,rust,unknown,postgres
rwillians-elixir,custom,elixir,unknown,postgresql
ryansdb,nginx,cpp,unknown,custom
ryan_and_sena,nginx,cpp,aspnet,postgres
ryrden,nginx,go,fiber,postgres
samluiz,nginx,Go,Fiber,Postgres
samuelfr7,nginx,unknown,bun,postgres
samueljansem,custom,.NET,unknown,PostgreSQL
santannaf_web,nginx,java,unknown,postgres
santannaf_webflux,nginx,java,unknown,postgres
santannaf_webflux_wu,nginx,kotlin,unknown,postgres
santannaf_web_go_unlogged,nginx,golang,unknown,postgres
santanna_web_go,nginx,golang,unknown,postgres
santanna_web_wu,nginx,kotlin,unknown,postgres
saskenuba,custom,rust,unknown,lmdb
saulomendonca-rails,nginx,ruby,unknown,postgres
savio04,nginx,nodejs,unknown,postgres
schrammel-bun-prisma,custom,unknown,bun,unknown
sergipebackend-java,custom,java,WebFlux,Postgresql
silmar-alberti-franken-php,haproxy,php,unknown,postgres
sinatrinha-do-povo,nginx,ruby,unknown,postgresql
skvggor-pankkivahva-rust,custom,rust,unknown,postgres
srlucasromulo-not_so_fast_api,nginx,unknown,unknown,postgres
stefannovasky,nginx,C#,aspnet,PostgreSQL
stefannovasky-kitajs,nginx,node.js,unknown,postgresql
sudo-victor-js,nginx,node.js,unknown,postgres
suricat89-mongodb,custom,golang,fiber,postgres
suricat89-postgres,custom,golang,fiber,postgres
taciossbr,custom,python,flask,postgres
tagliatti,nginx,csharp,unknown,postgres
thiagodamas-go-swagger-sqlc-postgres,custom,go,unknown,postgres
thiagofernandes_bun,nginx,unknown,bun,postgres
thiagorigonatti-java-core,nginx,java,unknown,postgres
thiagosantana,nginx,Java,unknown,mongodb
thiagosantana_go,nginx,Golang,unknown,PostgreSQL
thiagotn,nginx,unknown,fastapi,postgres
thicsilva,nginx,dotnet,unknown,mariadb
thiper01-django,nginx,python,unknown,postgres
thiper01-fastapi,nginx,python,unknown,postgres
thusspokebieu-activej,nginx,java,unknown,postgres
thusspokebieu-rust,nginx,rust,ntex,postgres
thyagopiske-dotnet,nginx,dotnet,unknown,postgresql
tiagoguerreirodev-go,nginx,golang,unknown,postgres
tiagoguerreirodev-python,nginx,python,fastapi,postgres
tiagorconceicao-node,nginx,node.js,unknown,postgresql
tomer,nginx,rust,unknown,sqlite
tonholis-dotnet,nginx,C#,unknown,postgres
tonico,custom,ruby,unknown,postgres
tonycarvalho1994,nginx,GoLang,unknown,PostgreSQL
tonycarvalho1994-python,nginx,Python,unknown,PostgreSQL
tortuga,custom,ruby,unknown,postgres
trindadematheus-node,custom,node.js,unknown,postgresql
tsugami,nginx,golang,gin,postgresql
udleinati,haproxy,deno,unknown,postgres
Vagnerlg,custom,java,unknown,postgres
vgdss,nginx,python,FastAPI,PostgreSQL
vhogemann,custom,F#,Falco,Postgres
victor-132,nginx,go,fiber,mongodb
victor-macedo,nginx,go-chi,unknown,postgresql
victor-marcolino,nginx,go,unknown,postgres
victor99z,nginx,go,fiber,postgres
victornfb,nginx,javascript,unknown,postgres
victorverdoodt,nginx,.NET,unknown,postgres
vifonsec4-lb-khd0,custom,c++,unknown,mariadb
vifonsec4-nginx,nginx,mariadb,c++,unknown
vineboneto-go,nginx,go,unknown,postgres
vineboneto-js,nginx,NodeJS,unknown,Postgres
vinicius-golang,nginx,golang,unknown,mongodb
vinicius-julio,nginx,zig,unknown,sqlite3
viniciusamc-golang,nginx,golang,unknown,postgres
viniciusfcf,nginx,unknown,unknown,postgres
viniciusgferreira,nginx,go,unknown,postgres
viniciusnrg,nginx,java,unknown,postgres
viniville-spring-webflux,nginx,java,Spring_Boot,postgres
viniville-spring-webmvc,nginx,java,Spring_Boot,postgres
viniville-spring-webmvc-native,nginx,java,unknown,postgres
vitorascorrea,nginx,unknown,unknown,postgres
vitorbgs,nginx,.NET,unknown,PostgreSQL
vitorlacerda-dotnet,nginx,cpp,unknown,postgres
vitorlacerda-golang,nginx,Golang,unknown,postgres
vitornorberto,nginx,java,spring_boot,postgres
vitornorberto-micronaut,nginx,java,unknown,postgres
vitorrt-nodejs,nginx,nodejs,unknown,postgres
vitorsalgado,custom,Go,unknown,Postgres
vitorsalgado-custom-lb,custom,go,unknown,postgres
vitorsalgado-custom-lb-db-conf,envoy,go,unknown,postgres
vitorsalgado-nodejs,custom,javascript,unknown,postgres
vitor_weirich_java,nginx,java,unknown,postgresql
vitor_weirich_java_network_host,nginx,java,unknown,postgresql
vkobinski,nginx,rust,unknown,postgres
vpithan-bun,nginx,clojure,unknown,postgres
vyctorguimaraes,nginx,typescript,unknown,postgresql
wagner,nginx,.NET,unknown,PostgreSQL
wallacepinho,nginx,python,unknown,postgres
wdmatheus,nginx,.NET,unknown,Postgresql
welitonfreitas,nginx,python,fastapi,postgres
wesleyav,nginx,java,unknown,mysql
wesleyegberto,nginx,java,unknown,postgres
wesleyricardi-rust,custom,rust,actix-web,postgres
weversonl,nginx,java,unknown,postgres
whyakari,custom,golang,gin-gonic,mariadb
wiliamvj,nginx,go,unknown,postgres
williammaia,nginx,go,unknown,postgres
williamsumida,nginx,typescript,unknown,postgres
williamtakeshi-rust,nginx,rust,unknown,postgres
williansugiyama,nginx,unknown,bun,postgres
wladneto,nginx,nodeJS,express,mySQL
wosteimer,nginx,python,starlette,postgres
yanpgabriel,nginx,unknown,quarkus,postgres
yanpitangui,nginx,.NET,unknown,Postgresql
ydotnet,nginx,dotnet,unknown,postgres
ygorcarmo,nginx,go,unknown,postgres
yMarceloMaia,custom,node,express,postgres
zan-clojure-01,nginx,clojure,unknown,postgres
zan-dotnet,nginx,C#,unknown,postgres
zaqueu,nginx,c#,unknown,postgres
zelnatal,nginx,rust,unknown,postgres
zetos-bun,nginx,unknown,bun,postgres
zetos-haskell,nginx,haskell,unknown,postgres
zetos-node,nginx,nodeJS,unknown,postgres
zsantana,nginx,java,unknown,postgres
